"online_01" "online_02" "online_03" "online_04" "online_05" "online_06" "online_07" "online_08" "online_09" "online_10" "online_11" "online_12" "online_13" "online_14" "online_15" "online_16" "online_17" "online_18" "online_19" "online_20" "online_21" "online_22" "online_23" "online_24" "online_25" "online_26" "online_27" "online_28" "print_01" "print_02" "print_03" "print_04" "print_05" "print_06" "print_07" "print_08" "print_09" "print_10" "print_11" "print_12" "print_13" "print_14" "print_15" "print_16" "print_17" "print_18" "print_19" "print_20" "print_21"
"es" 0.931195033626487 0.802005012531328 0.500250125062531 1.20663650075415 0.874485596707819 0.449326010983525 0.831168831168831 0.75 0.455465587044534 0.78546882670594 0.6 0.662589194699286 0.698951572641038 0.839091806515301 0.403836446239273 0.255232261357836 0.972762645914397 0.845771144278607 0.448207171314741 0.671140939597315 0.80040020010005 1.45379023883697 0.447761194029851 0.248138957816377 0.597312095569935 0.532945736434108 0.7274490785645 0.534239922292375 0.713557594291539 0.509424350483953 1.33399209486166 0.789058390320884 1.02564102564103 0.645802285146547 0.865580448065173 0.550826239359039 0.703517587939699 0.607287449392713 0.612557427258805 0.95959595959596 0.752256770310933 1.12244897959184 0.502765208647562 0.663603879530373 0.993847610033128 0.608519269776876 0.601805416248746 0.742574257425743 0.738007380073801
"zu" 0.982928091050181 0.50125313283208 0.80040020010005 0.502765208647562 0.565843621399177 0.149775336994508 0.415584415584416 0.3 0.303643724696356 0.589101620029455 0.85 0.815494393476045 0.349475786320519 0.592300098716683 0.504795557799091 0.612557427258805 0.972762645914397 0.497512437810945 0.597609561752988 0.361383582860093 0.950475237618809 0.674974039460021 0.54726368159204 0.248138957816377 0.497760079641613 0.532945736434108 0.339476236663434 0.485672656629432 1.22324159021407 1.22261844116149 1.28458498023715 0.789058390320884 0.717948717948718 0.496770988574267 1.06924643584521 0.901352028042063 0.653266331658292 0.961538461538462 0.867789688616641 0.606060606060606 0.852557673019057 0.76530612244898 0.804424333836099 0.816743236345074 0.662565073355419 1.36916835699797 0.802407221664995 1.23762376237624 1.56826568265683
"dem" 0.103466114847387 0.651629072681704 0.350175087543772 1.45801910507793 0.771604938271605 0.399400898652022 0.831168831168831 0.4 0.55668016194332 0.78546882670594 0.8 0.764525993883792 0.649026460309536 1.13524185587364 0.858152448258455 1.02092904543134 0.778210116731518 0.995024875621891 0.697211155378486 0.671140939597315 1.10055027513757 1.09034267912773 0.646766169154229 0.397022332506204 0.597312095569935 0.290697674418605 0.824442289039767 0.874210781932977 0.662589194699286 0.458481915435558 0.543478260869565 0.683850604944766 0.923076923076923 0.645802285146547 0.865580448065173 0.600901352028042 0.452261306532663 0.506072874493927 0.969882593159775 0.505050505050505 0.501504513540622 0.969387755102041 0.754147812971342 0.663603879530373 0.662565073355419 0.963488843813387 0.702106318956871 0.693069306930693 0.876383763837638
"wir" 1.39679255043973 0.50125313283208 0.450225112556278 0.301659125188537 0.308641975308642 0.299550673989016 0.623376623376623 0.35 0.151821862348178 0.687285223367698 0.65 0.91743119266055 0.199700449326011 0.246791707798618 0 0.408371618172537 1.11867704280156 0.447761194029851 0.49800796812749 0.206504904491482 0.250125062531266 0.259605399792316 0.0995024875621891 0.148883374689826 0.447984071677451 1.21124031007752 0.5819592628516 0.437105390966489 1.07033639143731 0.560366785532348 2.17391304347826 0.789058390320884 0.871794871794872 1.58966716343766 0.712830957230143 1.30195292939409 1.00502512562814 1.61943319838057 1.07197549770291 0.0505050505050505 0.752256770310933 2.09183673469388 0.754147812971342 0.408371618172537 0.993847610033128 1.3184584178499 0.0501504513540622 1.53465346534653 0.553505535055351
"an" 0.620796689084325 0.451127819548872 0.300150075037519 0.402212166918049 0.771604938271605 0.698951572641038 0.831168831168831 0.85 0.506072874493927 0.78546882670594 0.2 0.662589194699286 0.599101347978033 0.740375123395854 0.504795557799091 0.612557427258805 0.486381322957198 0.646766169154229 0.896414342629482 0.980898296334538 0.750375187593797 0.934579439252336 0.945273631840796 0.496277915632754 0.945744151319064 0.290697674418605 0.630455868089234 0.728508984944148 0.611620795107034 0.713194090677534 0.839920948616601 0.47343503419253 0.461538461538462 1.14257327372081 0.814663951120163 0.901352028042063 0.402010050251256 0.55668016194332 0.459418070444104 0.858585858585859 0.651955867602808 0.918367346938776 0.553041729512318 0.561510974987238 0.473260766682442 0.50709939148073 0.702106318956871 0.495049504950495 0.461254612546125
"von" 0.620796689084325 0.350877192982456 0.550275137568784 1.05580693815988 0.360082304526749 0.149775336994508 0.779220779220779 0.2 0.506072874493927 0.39273441335297 1.05 0.560652395514781 0.399400898652022 0.69101678183613 0.504795557799091 0.204185809086269 0.680933852140078 0.248756218905473 0.49800796812749 1.29065565307176 0.700350175087544 0.207684319833853 0.398009950248756 0.595533498759305 0.547536087605774 0.678294573643411 0.533462657613967 0.534239922292375 0.560652395514781 1.1207335710647 0.543478260869565 0.683850604944766 0.666666666666667 0.745156482861401 0.254582484725051 0.901352028042063 0.402010050251256 0.860323886639676 0.765696784073507 0.707070707070707 0.501504513540622 0.561224489795918 0.65359477124183 0.663603879530373 0.615238996687175 0.253549695740365 0.601805416248746 0.594059405940594 0.922509225092251
"auch" 0.41386445938955 0.451127819548872 0.700350175087544 0.452488687782805 0.565843621399177 0.199700449326011 0.155844155844156 0.55 0.404858299595142 0.540009818360334 0.25 0.509683995922528 0.399400898652022 0.345508390918065 0.60575466935891 0.153139356814701 0.729571984435798 0.497512437810945 0.348605577689243 0.361383582860093 0.950475237618809 0.311526479750779 0.646766169154229 0.54590570719603 0.846192135390742 0.581395348837209 0.5819592628516 0.534239922292375 0.560652395514781 0.509424350483953 0.296442687747036 0.578642819568648 0.666666666666667 0.397416790859414 0.865580448065173 0.550826239359039 0.904522613065327 0.55668016194332 0.969882593159775 0.555555555555556 0.902708124373119 0.408163265306122 0.351935646053293 1.32720775906075 1.04117368670137 1.01419878296146 0.45135406218656 0.495049504950495 0.968634686346863
"bei" 0.310398344542162 0.200501253132832 0.550275137568784 0.251382604323781 0.462962962962963 0.599101347978033 0.779220779220779 0.25 0.506072874493927 0.294550810014728 0.4 0.254841997961264 0.349475786320519 0.493583415597236 0.858152448258455 0.561510974987238 0.583657587548638 0.248756218905473 0.49800796812749 0.671140939597315 0.550275137568784 0.571131879543095 0.348258706467662 0.496277915632754 1.04529616724739 1.11434108527132 0.678952473326867 0.92277804759592 0.662589194699286 0.509424350483953 0.345849802371542 0.631246712256707 0.512820512820513 0.794833581718828 0.458248472505092 0.400600901352028 0.402010050251256 0.55668016194332 0.663603879530373 0.202020202020202 0.651955867602808 0.663265306122449 0.402212166918049 0.663603879530373 0.56791292001893 0.50709939148073 0.902708124373119 0.445544554455446 0.553505535055351
"ein" 0.724262803931712 0.150375939849624 0.650325162581291 0.301659125188537 0.977366255144033 0.499251123315027 0.675324675324675 0.35 0.354251012145749 0.687285223367698 0.5 0.662589194699286 0.249625561657514 0.444225074037512 0.403836446239273 0.459418070444104 0.486381322957198 0.248756218905473 0.647410358565737 0.929272070211668 0.950475237618809 0.311526479750779 0.497512437810945 0.148883374689826 0.39820806371329 0.62984496124031 0.533462657613967 0.582807187955318 0.611620795107034 0.458481915435558 1.03754940711462 0.420831141504471 0.41025641025641 0.29806259314456 0.814663951120163 0.85127691537306 0.753768844221106 0.404858299595142 0.408371618172537 0.303030303030303 0.501504513540622 0.663265306122449 0.452488687782805 0.35732516590097 0.757217226691907 0.304259634888438 0.45135406218656 0.99009900990099 0.553505535055351
"nach" 0.724262803931712 0.551378446115288 0.200100050025012 0.854700854700855 0.771604938271605 0.349475786320519 0.519480519480519 0.6 0.253036437246964 0.687285223367698 0.7 0.458715596330275 0.54917623564653 0.493583415597236 0.403836446239273 0.204185809086269 0.486381322957198 0.845771144278607 0.249003984063745 0.258131130614352 0.450225112556278 0.207684319833853 0.0497512437810945 0.198511166253102 0.447984071677451 0.775193798449612 0.678952473326867 0.194269062651773 0.611620795107034 0.254712175241977 0.988142292490119 0.683850604944766 0.461538461538462 1.19225037257824 0.661914460285132 0.400600901352028 1.00502512562814 0.657894736842105 0.561510974987238 0.404040404040404 0.501504513540622 1.02040816326531 0.603318250377074 0.408371618172537 0.615238996687175 0.304259634888438 0.501504513540622 0.495049504950495 0.3690036900369
